Customer_id,Customer_description
18,"Gender: Male, Age range: 20 - 25, Preffered watch type: Field, Preffered watch brand: Naviforce, Analog or Digital: Analog, Prefferd watch diameter size: 38mm - 40mm (Standard), Prefferd watch mechanics: Quartz ( Battery powered - highest accuracy- for digital and analog both), Minimum glass protection? Acrylic glass (type of plastic - prone to scratches), Preffered watch strap type: Leather, Prefferd water resistence rating: 5 BAR / 5 ATM / 50m / 165ft  (withstand splashes, shower, suitable for swimming), Budget allocated for a watch: $25 - $50, Prefferd additional features in a watch: Date;Backlight"
19,"Gender: Male, Age range: 20 - 25, Preffered watch type: Formal, Preffered watch brand: Not a specific brand, Analog or Digital: , Prefferd watch diameter size: , Prefferd watch mechanics: Mechanical (manually wound ), Minimum glass protection? , Preffered watch strap type: Steel, Prefferd water resistence rating: 3 BAR / 3 ATM / 30m / 100ft  (withstand accidental splashes), Budget allocated for a watch: Less than $25, Prefferd additional features in a watch: "
20,"Gender: Male, Age range: 20 - 25, Preffered watch type: Sports, Preffered watch brand: Casio (g-shock,  edifice , pro-tek), Analog or Digital: Both in one, Prefferd watch diameter size: 38mm - 40mm (Standard), Prefferd watch mechanics: Quartz ( Battery powered - highest accuracy- for digital and analog both), Minimum glass protection? Mineral Glass (for mid-range watches, more scratch resistant), Preffered watch strap type: Leather;Rubber or Silicon;Canvas, Prefferd water resistence rating: 5 BAR / 5 ATM / 50m / 165ft  (withstand splashes, shower, suitable for swimming), Budget allocated for a watch: Less than $25, Prefferd additional features in a watch: Date;Chronograph/timer;Alarm;Backlight"
21,"Gender: Male, Age range: 16 - 19, Preffered watch type: Formal, Preffered watch brand: Casio (g-shock,  edifice , pro-tek);Seiko, Analog or Digital: Both in one, Prefferd watch diameter size: 26mm - 30mm (for small wrists), Prefferd watch mechanics: Quartz ( Battery powered - highest accuracy- for digital and analog both), Minimum glass protection? Mineral Glass (for mid-range watches, more scratch resistant), Preffered watch strap type: Steel;Rubber or Silicon, Prefferd water resistence rating: 5 BAR / 5 ATM / 50m / 165ft  (withstand splashes, shower, suitable for swimming), Budget allocated for a watch: $25 - $50, Prefferd additional features in a watch: Chronograph/timer"
22,"Gender: Male, Age range: 20 - 25, Preffered watch type: Digital;Formal, Preffered watch brand: Casio (g-shock,  edifice , pro-tek);Tissot, Analog or Digital: Digital, Prefferd watch diameter size: 32mm - 36 mm ( for medium wrists), Prefferd watch mechanics: Quartz ( Battery powered - highest accuracy- for digital and analog both);Automatic (mechanical but automatically wounds), Minimum glass protection? Sapphire ( incredibly hard and durable, for high end watches), Preffered watch strap type: Steel;Rubber or Silicon, Prefferd water resistence rating: 10 BAR / 10 ATM / 100m / 330f  (suitable for swimming and light water sports), Budget allocated for a watch: More than $300, Prefferd additional features in a watch: Date;Chronograph/timer;Alarm"
23,"Gender: Male, Age range: 20 - 25, Preffered watch type: Field, Preffered watch brand: Not a specific brand, Analog or Digital: Both in one, Prefferd watch diameter size: 26mm - 30mm (for small wrists), Prefferd watch mechanics: Quartz ( Battery powered - highest accuracy- for digital and analog both);Automatic (mechanical but automatically wounds), Minimum glass protection? Mineral Glass (for mid-range watches, more scratch resistant), Preffered watch strap type: Leather;Canvas, Prefferd water resistence rating: 5 BAR / 5 ATM / 50m / 165ft  (withstand splashes, shower, suitable for swimming), Budget allocated for a watch: $100 - $200, Prefferd additional features in a watch: Chronograph/timer;Backlight"
24,"Gender: Male, Age range: 20 - 25, Preffered watch type: Formal, Preffered watch brand: Casio (g-shock,  edifice , pro-tek);Seiko;Omega;Citizen, Analog or Digital: Analog, Prefferd watch diameter size: 38mm - 40mm (Standard), Prefferd watch mechanics: Quartz ( Battery powered - highest accuracy- for digital and analog both), Minimum glass protection? Sapphire ( incredibly hard and durable, for high end watches), Preffered watch strap type: Steel, Prefferd water resistence rating: 5 BAR / 5 ATM / 50m / 165ft  (withstand splashes, shower, suitable for swimming), Budget allocated for a watch: More than $300, Prefferd additional features in a watch: Date"
25,"Gender: Female, Age range: 20 - 25, Preffered watch type: Dress, Preffered watch brand: Not a specific brand, Analog or Digital: Analog, Prefferd watch diameter size: 32mm - 36 mm ( for medium wrists), Prefferd watch mechanics: Quartz ( Battery powered - highest accuracy- for digital and analog both), Minimum glass protection? Sapphire ( incredibly hard and durable, for high end watches), Preffered watch strap type: Canvas;Milanese, Prefferd water resistence rating: 5 BAR / 5 ATM / 50m / 165ft  (withstand splashes, shower, suitable for swimming), Budget allocated for a watch: $25 - $50, Prefferd additional features in a watch: Alarm"
26,"Gender: , Age range: , Preffered watch type: Sports, Preffered watch brand: Not a specific brand, Analog or Digital: Analog, Prefferd watch diameter size: 42mm - 44mm ( for bigger wrists), Prefferd watch mechanics: Mechanical (manually wound ), Minimum glass protection? Mineral Glass (for mid-range watches, more scratch resistant), Preffered watch strap type: Leather, Prefferd water resistence rating: 5 BAR / 5 ATM / 50m / 165ft  (withstand splashes, shower, suitable for swimming), Budget allocated for a watch: Less than $25, Prefferd additional features in a watch: Date"
27,"Gender: Female, Age range: 20 - 25, Preffered watch type: Dress;Formal, Preffered watch brand: Citizen;Not a specific brand, Analog or Digital: Analog, Prefferd watch diameter size: 26mm - 30mm (for small wrists), Prefferd watch mechanics: Quartz ( Battery powered - highest accuracy- for digital and analog both), Minimum glass protection? Mineral Glass (for mid-range watches, more scratch resistant), Preffered watch strap type: Leather;Rubber or Silicon, Prefferd water resistence rating: 3 BAR / 3 ATM / 30m / 100ft  (withstand accidental splashes), Budget allocated for a watch: Less than $25, Prefferd additional features in a watch: Date"
28,"Gender: Male, Age range: 20 - 25, Preffered watch type: Field, Preffered watch brand: Seiko;Citizen, Analog or Digital: Analog, Prefferd watch diameter size: 32mm - 36 mm ( for medium wrists), Prefferd watch mechanics: Quartz ( Battery powered - highest accuracy- for digital and analog both), Minimum glass protection? Acrylic glass (type of plastic - prone to scratches), Preffered watch strap type: Leather;Steel, Prefferd water resistence rating: 3 BAR / 3 ATM / 30m / 100ft  (withstand accidental splashes), Budget allocated for a watch: Less than $25, Prefferd additional features in a watch: "
29,"Gender: Male, Age range: 20 - 25, Preffered watch type: Digital;Formal;Sports, Preffered watch brand: Not a specific brand, Analog or Digital: Both in one, Prefferd watch diameter size: 38mm - 40mm (Standard), Prefferd watch mechanics: Quartz ( Battery powered - highest accuracy- for digital and analog both), Minimum glass protection? Mineral Glass (for mid-range watches, more scratch resistant), Preffered watch strap type: Steel;Rubber or Silicon, Prefferd water resistence rating: 10 BAR / 10 ATM / 100m / 330f  (suitable for swimming and light water sports), Budget allocated for a watch: Less than $25, Prefferd additional features in a watch: Date;Chronograph/timer;Alarm;Backlight"
30,"Gender: Female, Age range: 16 - 19, Preffered watch type: Dress, Preffered watch brand: Casio (g-shock,  edifice , pro-tek), Analog or Digital: Analog, Prefferd watch diameter size: 26mm - 30mm (for small wrists), Prefferd watch mechanics: Mechanical (manually wound ), Minimum glass protection? Sapphire ( incredibly hard and durable, for high end watches), Preffered watch strap type: Leather, Prefferd water resistence rating: 5 BAR / 5 ATM / 50m / 165ft  (withstand splashes, shower, suitable for swimming), Budget allocated for a watch: $25 - $50, Prefferd additional features in a watch: Backlight"
31,"Gender: Male, Age range: 20 - 25, Preffered watch type: Digital, Preffered watch brand: Casio (g-shock,  edifice , pro-tek);Tissot;Naviforce, Analog or Digital: Both in one, Prefferd watch diameter size: 38mm - 40mm (Standard), Prefferd watch mechanics: Automatic (mechanical but automatically wounds), Minimum glass protection? Mineral Glass (for mid-range watches, more scratch resistant), Preffered watch strap type: Leather;Rubber or Silicon, Prefferd water resistence rating: 5 BAR / 5 ATM / 50m / 165ft  (withstand splashes, shower, suitable for swimming), Budget allocated for a watch: $50 - $100, Prefferd additional features in a watch: Date;Chronograph/timer;Alarm"
32,"Gender: Male, Age range: 20 - 25, Preffered watch type: Dress;Formal, Preffered watch brand: Seiko;Omega;Citizen;Tissot, Analog or Digital: Analog, Prefferd watch diameter size: 32mm - 36 mm ( for medium wrists), Prefferd watch mechanics: Quartz ( Battery powered - highest accuracy- for digital and analog both), Minimum glass protection? Mineral Glass (for mid-range watches, more scratch resistant), Preffered watch strap type: Steel, Prefferd water resistence rating: 5 BAR / 5 ATM / 50m / 165ft  (withstand splashes, shower, suitable for swimming), Budget allocated for a watch: Less than $25, Prefferd additional features in a watch: Date;Chronograph/timer;Backlight"
33,"Gender: Female, Age range: Over 40, Preffered watch type: Dress, Preffered watch brand: Not a specific brand, Analog or Digital: Analog, Prefferd watch diameter size: 32mm - 36 mm ( for medium wrists), Prefferd watch mechanics: Quartz ( Battery powered - highest accuracy- for digital and analog both), Minimum glass protection? Mineral Glass (for mid-range watches, more scratch resistant), Preffered watch strap type: Steel, Prefferd water resistence rating: 5 BAR / 5 ATM / 50m / 165ft  (withstand splashes, shower, suitable for swimming), Budget allocated for a watch: Less than $25, Prefferd additional features in a watch: Date"
34,"Gender: Female, Age range: 31 - 40, Preffered watch type: Formal, Preffered watch brand: Not a specific brand, Analog or Digital: Both in one, Prefferd watch diameter size: 32mm - 36 mm ( for medium wrists), Prefferd watch mechanics: Automatic (mechanical but automatically wounds), Minimum glass protection? Mineral Glass (for mid-range watches, more scratch resistant), Preffered watch strap type: Steel, Prefferd water resistence rating: 5 BAR / 5 ATM / 50m / 165ft  (withstand splashes, shower, suitable for swimming), Budget allocated for a watch: $25 - $50, Prefferd additional features in a watch: Alarm"
35,"Gender: Female, Age range: Over 40, Preffered watch type: Dress, Preffered watch brand: Omega, Analog or Digital: Analog, Prefferd watch diameter size: 38mm - 40mm (Standard), Prefferd watch mechanics: Quartz ( Battery powered - highest accuracy- for digital and analog both), Minimum glass protection? Sapphire ( incredibly hard and durable, for high end watches), Preffered watch strap type: Leather;Steel, Prefferd water resistence rating: 10 BAR / 10 ATM / 100m / 330f  (suitable for swimming and light water sports), Budget allocated for a watch: More than $300, Prefferd additional features in a watch: Date"
36,"Gender: Male, Age range: 20 - 25, Preffered watch type: Dress, Preffered watch brand: Casio (g-shock,  edifice , pro-tek);Citizen, Analog or Digital: Analog, Prefferd watch diameter size: 32mm - 36 mm ( for medium wrists), Prefferd watch mechanics: Quartz ( Battery powered - highest accuracy- for digital and analog both), Minimum glass protection? Mineral Glass (for mid-range watches, more scratch resistant), Preffered watch strap type: Leather;Steel, Prefferd water resistence rating: 3 BAR / 3 ATM / 30m / 100ft  (withstand accidental splashes), Budget allocated for a watch: Less than $25, Prefferd additional features in a watch: Date"
37,"Gender: Female, Age range: Over 40, Preffered watch type: Dress;Field;Formal, Preffered watch brand: Tissot, Analog or Digital: Analog, Prefferd watch diameter size: 38mm - 40mm (Standard), Prefferd watch mechanics: Automatic (mechanical but automatically wounds), Minimum glass protection? Mineral Glass (for mid-range watches, more scratch resistant), Preffered watch strap type: Leather;Steel, Prefferd water resistence rating: 10 BAR / 10 ATM / 100m / 330f  (suitable for swimming and light water sports), Budget allocated for a watch: $25 - $50, Prefferd additional features in a watch: Date;Backlight"
38,"Gender: Male, Age range: 20 - 25, Preffered watch type: Dress;Formal, Preffered watch brand: Casio (g-shock,  edifice , pro-tek);Seiko;Orient;Omega;Citizen;Tissot, Analog or Digital: Analog, Prefferd watch diameter size: 32mm - 36 mm ( for medium wrists), Prefferd watch mechanics: Mechanical (manually wound );Automatic (mechanical but automatically wounds), Minimum glass protection? Sapphire ( incredibly hard and durable, for high end watches), Preffered watch strap type: Steel, Prefferd water resistence rating: 10 BAR / 10 ATM / 100m / 330f  (suitable for swimming and light water sports), Budget allocated for a watch: $100 - $200, Prefferd additional features in a watch: Date"
39,"Gender: Female, Age range: 20 - 25, Preffered watch type: Dress;Field;Formal, Preffered watch brand: Casio (g-shock,  edifice , pro-tek);Omega;Citizen;Hamilton, Analog or Digital: Analog;Both in one, Prefferd watch diameter size: 32mm - 36 mm ( for medium wrists), Prefferd watch mechanics: Quartz ( Battery powered - highest accuracy- for digital and analog both);Mechanical (manually wound );Automatic (mechanical but automatically wounds), Minimum glass protection? Sapphire ( incredibly hard and durable, for high end watches), Preffered watch strap type: Leather;Steel;Nato;Canvas;Milanese, Prefferd water resistence rating: 20 BAR / 20 ATM / 200m / 660ft  (suitable for water sports and scuba diving), Budget allocated for a watch: More than $300, Prefferd additional features in a watch: Date;Chronograph/timer;Alarm;Backlight"
40,"Gender: Female, Age range: 20 - 25, Preffered watch type: Dress, Preffered watch brand: Citizen, Analog or Digital: Both in one, Prefferd watch diameter size: 38mm - 40mm (Standard), Prefferd watch mechanics: Quartz ( Battery powered - highest accuracy- for digital and analog both), Minimum glass protection? , Preffered watch strap type: Leather;Rubber or Silicon;Canvas, Prefferd water resistence rating: 5 BAR / 5 ATM / 50m / 165ft  (withstand splashes, shower, suitable for swimming), Budget allocated for a watch: Less than $25, Prefferd additional features in a watch: Date;Alarm"
41,"Gender: Female, Age range: Over 40, Preffered watch type: Dress, Preffered watch brand: Omega;Tissot, Analog or Digital: Analog, Prefferd watch diameter size: 32mm - 36 mm ( for medium wrists), Prefferd watch mechanics: Quartz ( Battery powered - highest accuracy- for digital and analog both);Automatic (mechanical but automatically wounds), Minimum glass protection? Sapphire ( incredibly hard and durable, for high end watches), Preffered watch strap type: Steel;Milanese, Prefferd water resistence rating: 3 BAR / 3 ATM / 30m / 100ft  (withstand accidental splashes), Budget allocated for a watch: More than $300, Prefferd additional features in a watch: Date"
42,"Gender: Male, Age range: 20 - 25, Preffered watch type: Formal, Preffered watch brand: Timex;Seiko;Omega, Analog or Digital: Analog, Prefferd watch diameter size: 38mm - 40mm (Standard), Prefferd watch mechanics: Automatic (mechanical but automatically wounds), Minimum glass protection? Sapphire ( incredibly hard and durable, for high end watches), Preffered watch strap type: Steel, Prefferd water resistence rating: 5 BAR / 5 ATM / 50m / 165ft  (withstand splashes, shower, suitable for swimming), Budget allocated for a watch: $50 - $100, Prefferd additional features in a watch: Date;Chronograph/timer;Backlight"
43,"Gender: Female, Age range: Over 40, Preffered watch type: Dress, Preffered watch brand: Not a specific brand, Analog or Digital: Analog, Prefferd watch diameter size: 32mm - 36 mm ( for medium wrists), Prefferd watch mechanics: Quartz ( Battery powered - highest accuracy- for digital and analog both), Minimum glass protection? Mineral Glass (for mid-range watches, more scratch resistant), Preffered watch strap type: Leather;Milanese, Prefferd water resistence rating: 3 BAR / 3 ATM / 30m / 100ft  (withstand accidental splashes), Budget allocated for a watch: Less than $25, Prefferd additional features in a watch: Date"
44,"Gender: Male, Age range: 20 - 25, Preffered watch type: Digital;Field, Preffered watch brand: Casio (g-shock,  edifice , pro-tek);Citizen, Analog or Digital: Both in one, Prefferd watch diameter size: 38mm - 40mm (Standard), Prefferd watch mechanics: Quartz ( Battery powered - highest accuracy- for digital and analog both), Minimum glass protection? Sapphire ( incredibly hard and durable, for high end watches), Preffered watch strap type: Leather;Steel;Rubber or Silicon, Prefferd water resistence rating: 5 BAR / 5 ATM / 50m / 165ft  (withstand splashes, shower, suitable for swimming), Budget allocated for a watch: $25 - $50, Prefferd additional features in a watch: Date;Alarm;Backlight"
45,"Gender: Male, Age range: 26 - 30, Preffered watch type: Field, Preffered watch brand: Omega;Tissot, Analog or Digital: Analog, Prefferd watch diameter size: 32mm - 36 mm ( for medium wrists), Prefferd watch mechanics: Quartz ( Battery powered - highest accuracy- for digital and analog both);Automatic (mechanical but automatically wounds), Minimum glass protection? Sapphire ( incredibly hard and durable, for high end watches), Preffered watch strap type: Steel;Canvas, Prefferd water resistence rating: 10 BAR / 10 ATM / 100m / 330f  (suitable for swimming and light water sports), Budget allocated for a watch: More than $300, Prefferd additional features in a watch: Date;Chronograph/timer"
46,"Gender: Male, Age range: 20 - 25, Preffered watch type: Formal, Preffered watch brand: Casio (g-shock,  edifice , pro-tek), Analog or Digital: Analog, Prefferd watch diameter size: 32mm - 36 mm ( for medium wrists), Prefferd watch mechanics: Quartz ( Battery powered - highest accuracy- for digital and analog both), Minimum glass protection? Sapphire ( incredibly hard and durable, for high end watches), Preffered watch strap type: Steel, Prefferd water resistence rating: 3 BAR / 3 ATM / 30m / 100ft  (withstand accidental splashes), Budget allocated for a watch: Less than $25, Prefferd additional features in a watch: Alarm"
47,"Gender: Female, Age range: Over 40, Preffered watch type: , Preffered watch brand: , Analog or Digital: , Prefferd watch diameter size: , Prefferd watch mechanics: , Minimum glass protection? , Preffered watch strap type: , Prefferd water resistence rating: , Budget allocated for a watch: , Prefferd additional features in a watch: Date"
48,"Gender: Male, Age range: 16 - 19, Preffered watch type: Sports, Preffered watch brand: Casio (g-shock,  edifice , pro-tek), Analog or Digital: Both in one, Prefferd watch diameter size: 38mm - 40mm (Standard), Prefferd watch mechanics: Quartz ( Battery powered - highest accuracy- for digital and analog both), Minimum glass protection? Sapphire ( incredibly hard and durable, for high end watches), Preffered watch strap type: Leather, Prefferd water resistence rating: , Budget allocated for a watch: $25 - $50, Prefferd additional features in a watch: Date"
49,"Gender: Male, Age range: 20 - 25, Preffered watch type: Field, Preffered watch brand: Casio (g-shock,  edifice , pro-tek), Analog or Digital: Analog, Prefferd watch diameter size: 32mm - 36 mm ( for medium wrists), Prefferd watch mechanics: Quartz ( Battery powered - highest accuracy- for digital and analog both), Minimum glass protection? Mineral Glass (for mid-range watches, more scratch resistant), Preffered watch strap type: Leather, Prefferd water resistence rating: 3 BAR / 3 ATM / 30m / 100ft  (withstand accidental splashes), Budget allocated for a watch: $25 - $50, Prefferd additional features in a watch: Date"
